T_REC,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRUSI,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA
2010.11.07_07:24:00_TAI,   2.9041140e+22,       31.405000,       97.272000,       99.478000,       39.803000,      0.10037920,   3.5322120e+13,    0.0034956700,    0.0010044300,       1600.6850,       47.238000,   2.4403600e+12,       2436.9070,   1.5221060e+23,       26.765000,       9.9610000,   6.5141480e+18,     0.014000000,     0.075000000,     0.075000000,     0.072000000,     0.022445100,   1.4019340e+11,   0.00054148000,   0.00015558000,   1.4019340e+11,       7.3170000,   5.4567220e+11,       2.2654010,   1.4149820e+20,       0.0000000
2010.11.07_07:36:00_TAI,   2.8756510e+22,       31.612000,       97.667000,       100.00300,       40.304000,      0.12393133,   3.5637590e+13,    0.0033793000,   0.00097929000,       1607.7690,       45.454000,   2.9733760e+12,       2498.3310,   1.5400000e+23,       27.196000,       10.492000,   6.6617130e+18,     0.015000000,     0.078000000,     0.077000000,     0.075000000,     0.023285000,   1.4353150e+11,   0.00054724000,   0.00015859000,   1.4353150e+11,       7.3610000,   5.5865650e+11,       2.2963000,   1.4154660e+20,    0.0010000000
2010.11.07_07:48:00_TAI,   2.8382720e+22,       31.690000,       98.564000,       100.98400,       40.749000,      0.11532542,   3.4985350e+13,    0.0036387400,    0.0010682700,       1587.0830,       48.600000,   2.7120140e+12,       2554.6800,   1.5435220e+23,       27.309000,       10.722000,   6.7853400e+18,     0.015000000,     0.081000000,     0.080000000,     0.078000000,     0.024336930,   1.4704220e+11,   0.00056448000,   0.00016572000,   1.4704220e+11,       7.5390000,   5.7231180e+11,       2.4569970,   1.4845020e+20,    0.0010000000
2010.11.07_08:00:00_TAI,   2.8149770e+22,       31.589000,       99.480000,       101.71100,       41.129000,     0.094967470,   3.5655870e+13,    0.0039735200,    0.0011801900,       1620.0640,       52.883000,   2.1996590e+12,       2557.2820,   1.5218640e+23,       27.098000,       10.379000,   6.9258970e+18,     0.016000000,     0.084000000,     0.083000000,     0.081000000,     0.025289670,   1.5050130e+11,   0.00058123000,   0.00017263000,   1.5050130e+11,       7.7360000,   5.8576520e+11,       2.5260170,   1.5032580e+20,    0.0010000000
2010.11.07_08:12:00_TAI,   2.7542910e+22,       31.399000,       100.27500,       102.46300,       41.685000,     0.097628860,   3.4596010e+13,    0.0044366700,    0.0013459800,       1594.7320,       58.125000,   2.1792090e+12,       2608.3850,   1.4959500e+23,       26.857000,       9.9640000,   6.9598930e+18,     0.016000000,     0.087000000,     0.087000000,     0.085000000,     0.026400990,   1.5141390e+11,   0.00059605000,   0.00018083000,   1.5141390e+11,       7.8090000,   5.8930610e+11,       2.6349820,   1.5112040e+20,    0.0010000000
2010.11.07_08:24:00_TAI,   2.7064220e+22,       31.280000,       101.01300,       103.11600,       41.966000,      0.15154423,   3.4108250e+13,    0.0057857100,    0.0017748400,       1580.2180,       74.724000,   3.2979350e+12,       2650.9060,   1.4822800e+23,       26.719000,       9.6620000,   6.9651150e+18,     0.017000000,     0.090000000,     0.089000000,     0.088000000,     0.027171460,   1.5193180e+11,   0.00060790000,   0.00018648000,   1.5193180e+11,       7.8510000,   5.9131060e+11,       2.7123250,   1.5166230e+20,    0.0010000000
2010.11.07_08:36:00_TAI,   2.6674870e+22,       31.000000,       101.83300,       104.32900,       42.290000,      0.12458105,   3.3538970e+13,    0.0053880600,    0.0016765400,       1563.4580,       68.829000,   2.6436840e+12,       2672.4670,   1.4571760e+23,       26.474000,       9.4720000,   6.9278720e+18,     0.017000000,     0.092000000,     0.091000000,     0.089000000,     0.027705580,   1.5106610e+11,   0.00061196000,   0.00019042000,   1.5106610e+11,       7.8170000,   5.8792910e+11,       2.7682370,   1.5093950e+20,    0.0010000000
2010.11.07_08:48:00_TAI,   2.6179670e+22,       30.709000,       102.61700,       105.36300,       42.176000,      0.22944055,   3.2704770e+13,    0.0057378300,    0.0018150300,       1543.4590,       72.294000,   4.7234960e+12,       2676.6050,   1.4158890e+23,       26.240000,       8.8320000,   6.8687140e+18,     0.017000000,     0.094000000,     0.093000000,     0.092000000,     0.028371760,   1.5008280e+11,   0.00062289000,   0.00019704000,   1.5008280e+11,       7.8480000,   5.8408970e+11,       2.7707470,   1.4656880e+20,    0.0010000000
2010.11.07_09:00:00_TAI,   2.5932630e+22,       30.606000,       103.14400,       105.75500,       42.450000,      0.10867959,   3.2445020e+13,    0.0042494200,    0.0013466700,       1537.0990,       53.039000,   2.2123420e+12,       2695.8540,   1.4101390e+23,       26.156000,       8.8890000,   6.9660160e+18,     0.017000000,     0.096000000,     0.096000000,     0.094000000,     0.029123810,   1.5233990e+11,   0.00063663000,   0.00020175000,   1.5233990e+11,       7.9460000,   5.9286040e+11,       2.9120470,   1.5232240e+20,    0.0010000000
2010.11.07_09:12:00_TAI,   2.5555050e+22,       30.595000,       102.53600,       105.42300,       42.059000,      0.12919678,   3.1916240e+13,    0.0044985100,    0.0014238100,       1508.8570,       55.301000,   2.5934150e+12,       2677.2550,   1.3809610e+23,       26.162000,       9.1070000,   6.9343870e+18,     0.018000000,     0.097000000,     0.097000000,     0.095000000,     0.029441460,   1.5186270e+11,   0.00064508000,   0.00020417000,   1.5186270e+11,       7.9300000,   5.9098940e+11,       2.9155590,   1.5038810e+20,    0.0010000000
